PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier_(Under_$20),Store_Tier_($20-50),Store_Tier_(Over_$50),Store_Tier
1122_229750,1122,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$430 ,1,"$22,359 ",5.18, Small ,132610,52.30%,"$103,778 ","$1,352,786 ",57.40%,23.10%,22.00%,1.70%,22.30%,0,2,3,3
1113_229750,1113,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$2,017 ",52,"$2,017 ",9.41, Medium ,184931,44.70%,"$88,924 ","$1,290,551 ",38.80%,31.20%,24.80%,6.40%,25.10%,0,2,3,3
1303_229750,1303,NM,229750,Far Niente Cabernet Oakville,750ml,$164.99 ,"$1,221 ",52,"$1,221 ",6.52, Medium ,38782,24.80%,"$56,987 ","$772,125 ",41.10%,57.50%,1.70%,1.20%,27.20%,1,0,0,0
702_229750,702,SC,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$385 ,28,$715 ,20.15, Large ,65062,29.20%,"$60,808 ","$627,934 ",43.60%,3.80%,2.00%,33.30%,21.90%,3,1,2,2
1501_229750,1501,CT,229750,Far Niente Cabernet Oakville,750ml,$229.98 ,"$3,427 ",52,"$3,427 ",11.91, Large ,53733,55.50%,"$114,356 ","$2,416,222 ",57.20%,20.90%,5.70%,10.80%,26.80%,3,4,4,4
1119_229750,1119,CA,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$230 ,52,$230 ,7.59, Medium ,95422,32.40%,"$67,022 ","$920,392 ",36.40%,36.70%,11.00%,6.20%,21.70%,0,3,3,3
1004_229750,1004,AZ,229750,Far Niente Cabernet Oakville,750ml,$204.99 ,$230 ,24,$498 ,15.19, Medium ,97652,38.70%,"$80,276 ","$1,036,358 ",46.10%,24.10%,7.70%,8.70%,24.00%,2,2,1,1
1118_229750,1118,CA,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$875 ,52,$875 ,8.01, Small ,109664,55.30%,"$110,951 ","$2,014,020 ",54.50%,21.20%,15.50%,2.70%,26.70%,0,3,3,3
1603_229750,1603,MN,229750,Far Niente Cabernet Oakville,750ml,$189.99 ,$380 ,52,$380 ,10.14, Large ,68674,46.00%,"$91,151 ","$1,352,855 ",45.90%,7.20%,6.30%,12.00%,25.30%,4,2,2,2
1013_229750,1013,AZ,229750,Far Niente Cabernet Oakville,750ml,$204.99 ,$230 ,52,$230 ,1.76, Medium ,58383,31.10%,"$73,466 ","$838,517 ",28.90%,22.00%,3.80%,6.90%,19.20%,2,1,1,1
938_229750,938,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$660 ,52,$660 ,2.08, Large ,42464,33.70%,"$67,747 ","$1,174,543 ",59.20%,6.30%,4.20%,20.20%,24.90%,2,2,2,2
1104_229750,1104,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$214 ,19,$587 ,15.24, Large ,84828,42.60%,"$87,836 ","$913,943 ",30.50%,54.00%,11.20%,9.60%,21.20%,0,2,3,3
940_229750,940,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$1,350 ",38,"$1,847 ",1.1, Small ,120259,29.40%,"$58,554 ","$855,976 ",36.80%,19.70%,1.90%,35.40%,29.00%,1,1,3,3
1134_229750,1134,CA,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$195 ,49,$207 ,1.04, Medium ,71588,34.60%,"$76,455 ","$829,497 ",31.40%,34.70%,5.60%,2.80%,23.10%,2,2,4,4
912_229750,912,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$445 ,38,$609 ,18.18, Medium ,161891,22.70%,"$52,353 ","$650,376 ",31.60%,40.90%,2.00%,36.40%,25.10%,0,0,3,3
936_229750,936,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$1,335 ",30,"$2,314 ",0.96, Medium ,191164,26.10%,"$51,604 ","$582,251 ",37.20%,79.50%,1.40%,7.80%,24.30%,1,2,4,4
1106_229750,1106,CA,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$874 ,13,"$3,496 ",13.56, Large ,207129,44.00%,"$86,671 ","$1,090,631 ",42.80%,35.60%,20.20%,10.60%,24.40%,2,4,4,4
2702_229750,2702,IN,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$0 ,52,$0 ,2.21, Large ,80511,28.70%,"$62,990 ","$664,564 ",33.30%,6.80%,8.40%,3.70%,22.60%,3,3,2,2
926_229750,926,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$702 ,17,"$2,146 ",9.05, Small ,121139,29.80%,"$58,669 ","$528,459 ",47.50%,65.60%,2.10%,12.40%,21.80%,0,0,4,4
927_229750,927,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$230 ,7,"$1,708 ",8.95, Medium ,131996,30.20%,"$62,860 ","$897,605 ",33.60%,29.80%,4.90%,27.10%,26.00%,2,2,2,2
1140_229750,1140,CA,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,$770 ,35,"$1,144 ",0.77, Medium ,56959,55.70%,"$115,247 ","$2,456,245 ",64.40%,16.80%,6.40%,3.20%,29.40%,1,2,3,3
803_229750,803,GA,229750,Far Niente Cabernet Oakville,750ml,$219.99 ,$440 ,32,$715 ,15.99, Large ,104773,47.70%,"$93,894 ","$1,623,966 ",68.10%,14.30%,10.70%,15.50%,21.70%,1,1,2,2
205_229750,205,VA,229750,Far Niente Cabernet Oakville,750ml,$199.99 ,$200 ,15,$693 ,26.47, Large ,112024,69.10%,"$159,315 ","$2,995,145 ",76.90%,13.20%,16.90%,4.20%,26.00%,4,4,4,4
1302_229750,1302,NM,229750,Far Niente Cabernet Oakville,750ml,$164.99 ,"$1,765 ",52,"$1,765 ",11.45, Medium ,139245,21.50%,"$50,283 ","$550,548 ",38.00%,41.20%,3.60%,3.70%,24.10%,2,0,1,1
1131_229750,1131,CA,229750,Far Niente Cabernet Oakville,750ml,$194.99 ,"$1,081 ",19,"$2,958 ",2.88, Small ,34185,40.80%,"$83,481 ","$1,050,191 ",43.50%,30.40%,9.20%,4.80%,22.50%,0,0,1,1
901_229750,901,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,$860 ,38,"$1,177 ",19.18, Small ,112471,28.60%,"$57,338 ","$751,078 ",40.70%,38.10%,3.20%,18.10%,24.00%,2,3,4,4
913_229750,913,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$1,720 ",52,"$1,720 ",16.63, Medium ,108034,24.60%,"$57,550 ","$870,506 ",29.30%,10.60%,5.30%,4.50%,31.30%,3,1,2,2
611_229750,611,NC,229750,Far Niente Cabernet Oakville,750ml,$199.99 ,$200 ,52,$200 ,20.02, Medium ,109956,34.50%,"$68,575 ","$848,519 ",57.00%,11.90%,5.20%,24.10%,21.50%,2,2,2,2
918_229750,918,FL,229750,Far Niente Cabernet Oakville,750ml,$214.99 ,"$1,350 ",38,"$1,847 ",13.21, Medium ,95855,38.40%,"$76,987 ","$1,309,505 ",42.40%,64.50%,3.00%,10.90%,26.90%,3,3,4,4
1606_239750,1606,MN,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.99 ,$112 ,44,$132 ,8.45, Small ,47856,53.60%,"$106,882 ","$2,103,706 ",60.00%,5.10%,7.10%,5.50%,28.20%,4,4,2,4
2302_239750,2302,CO,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,$61 ,26,$122 ,5.03, Large ,89577,57.00%,"$111,081 ","$1,897,933 ",66.00%,8.70%,8.50%,2.60%,25.10%,4,4,4,4
1706_239750,1706,MA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$9.99 ,$47 ,8,$305 ,5.44, Large ,95581,43.00%,"$85,117 ","$1,006,511 ",43.00%,5.70%,17.20%,12.00%,26.30%,4,4,4,4
401_239750,401,MD,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,$42 ,10,$218 ,28.01, Medium ,120003,35.80%,"$72,889 ","$1,078,772 ",42.50%,4.60%,5.70%,37.60%,24.40%,4,3,2,4
1411_239750,1411,WA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,$313 ,52,$313 ,8.05, Large ,240985,52.60%,"$105,629 ","$1,070,031 ",72.60%,6.90%,15.30%,6.50%,21.50%,0,1,1,0
1204_239750,1204,NV,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$5.97 ,$6 ,24,$13 ,9.09, Large ,130136,35.90%,"$76,784 ","$884,916 ",29.40%,23.00%,7.30%,15.10%,23.00%,1,1,1,1
1603_239750,1603,MN,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.99 ,$663 ,52,$663 ,10.14, Large ,68674,46.00%,"$91,151 ","$1,352,855 ",45.90%,7.20%,6.30%,12.00%,25.30%,4,2,2,4
2704_239750,2704,IN,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.79 ,$14 ,10,$71 ,2.11, Medium ,38887,58.50%,"$113,882 ","$1,685,146 ",63.80%,4.80%,6.70%,7.40%,19.40%,4,1,2,4
2001_239750,2001,TN,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,$91 ,10,$473 ,6.36, Large ,35028,47.40%,"$94,766 ","$1,836,093 ",59.10%,4.40%,5.30%,3.20%,28.50%,4,4,3,4
1802_239750,1802,MO,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,"$2,380 ",52,"$2,380 ",9.05, Small ,140765,34.00%,"$67,711 ","$1,073,544 ",57.50%,3.50%,5.30%,21.90%,24.70%,2,2,2,2
2502_239750,2502,LA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.49 ,"$2,959 ",52,"$2,959 ",4.24, Large ,54953,33.20%,"$67,352 ","$972,716 ",44.40%,5.80%,3.00%,14.90%,22.10%,4,3,2,4
1602_239750,1602,MN,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.99 ,$115 ,12,$500 ,10.64, Medium ,140763,31.00%,"$64,444 ","$644,223 ",50.10%,7.00%,12.60%,16.80%,20.60%,4,2,1,4
703_239750,703,SC,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.49 ,$111 ,11,$525 ,19.02, Medium ,66227,36.10%,"$73,919 ","$1,185,073 ",51.90%,7.50%,5.40%,15.10%,24.30%,4,4,3,4
1142_239750,1142,CA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$5.49 ,$54 ,49,$57 ,1.01, Large ,37229,45.50%,"$91,270 ","$1,253,134 ",25.80%,27.00%,7.70%,9.50%,25.00%,0,1,2,0
205_239750,205,VA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.49 ,$24 ,11,$113 ,26.47, Large ,112024,69.10%,"$159,315 ","$2,995,145 ",76.90%,13.20%,16.90%,4.20%,26.00%,4,4,4,4
1135_239750,1135,CA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.49 ,$30 ,52,$30 ,1.19, Medium ,366397,57.20%,"$121,881 ","$1,059,464 ",60.00%,15.80%,35.90%,5.20%,24.00%,1,3,4,1
208_239750,208,VA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.49 ,"$1,383 ",52,"$1,383 ",24.04, Small ,46605,42.50%,"$84,509 ","$1,061,296 ",38.40%,14.00%,3.40%,19.80%,22.40%,2,0,0,2
2605_239750,2605,MI,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,$28 ,10,$145 ,0.64, Large ,70177,49.60%,"$98,966 ","$1,808,879 ",55.40%,4.30%,13.00%,4.60%,27.00%,4,3,3,4
801_239750,801,GA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$8.49 ,$0 ,11,$0 ,15.49, Large ,79012,54.00%,"$107,097 ","$1,777,722 ",63.00%,11.90%,15.00%,13.90%,24.40%,4,4,4,4
1708_239750,1708,MA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$9.99 ,$9 ,9,$52 ,1.29, Large ,105187,52.40%,"$104,487 ","$1,728,724 ",54.20%,14.60%,7.00%,23.60%,26.20%,4,4,4,4
704_239750,704,SC,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$5.99 ,$36 ,11,$170 ,5.56, Large ,39322,21.60%,"$53,001 ","$513,776 ",28.30%,12.40%,2.90%,11.60%,22.90%,4,2,2,4
1607_239750,1607,MN,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.99 ,$72 ,10,$374 ,7.99, Large ,52640,43.70%,"$86,430 ","$1,499,453 ",50.10%,8.80%,7.90%,11.90%,26.40%,4,2,0,4
1805_239750,1805,MO,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.99 ,$57 ,52,$57 ,1.19, Medium ,33546,41.00%,"$82,892 ","$747,797 ",40.60%,6.60%,2.30%,6.40%,21.80%,2,2,3,2
1140_239750,1140,CA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.49 ,$45 ,35,$67 ,0.77, Medium ,56959,55.70%,"$115,247 ","$2,456,245 ",64.40%,16.80%,6.40%,3.20%,29.40%,1,2,3,1
303_239750,303,NJ,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.07 ,$64 ,10,$331 ,22.66, Large ,174536,49.70%,"$99,120 ","$1,561,975 ",46.80%,27.20%,16.70%,10.60%,26.60%,4,4,4,4
1002_239750,1002,AZ,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$6.99 ,$857 ,52,$857 ,16.8, Medium ,118274,31.50%,"$70,227 ","$945,516 ",30.40%,17.20%,4.50%,3.90%,25.80%,2,1,1,2
1604_239750,1604,MN,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.99 ,"$1,005 ",52,"$1,005 ",9.99, Medium ,65749,40.90%,"$80,779 ","$1,142,718 ",43.30%,8.50%,15.30%,11.90%,22.70%,4,2,1,4
802_239750,802,GA,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$8.49 ,$25 ,11,$120 ,17.35, Medium ,65746,37.30%,"$79,168 ","$1,115,435 ",47.80%,12.50%,7.10%,21.60%,23.30%,4,3,3,4
2002_239750,2002,TN,239750,Fetzer Anthonys Hill Cab Sauv,750ml,$7.99 ,$16 ,6,$138 ,2.96, Large ,42984,52.50%,"$104,831 ","$2,274,695 ",67.10%,7.10%,8.00%,7.30%,26.70%,4,4,4,4
