PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier_(Under_$20),Store_Tier_($20-50),Store_Tier_(Over_$50),Store_Tier
211_38410750,211,VA,38410750,Faust Cabernet Napa,750ml,$55.99 ,"$2,778 ",52,"$2,778 ",23.38, Small ,79271,33.60%,"$71,122 ","$754,023 ",33.50%,8.10%,6.90%,32.80%,23.80%,2,0,0,0
2701_38410750,2701,IN,38410750,Faust Cabernet Napa,750ml,$40.99 ,"$13,014 ",52,"$13,014 ",3.99, Large ,85421,35.30%,"$70,745 ","$1,062,544 ",58.30%,8.00%,6.40%,18.60%,23.80%,4,3,2,3
1701_38410750,1701,MA,38410750,Faust Cabernet Napa,750ml,$67.99 ,"$8,399 ",52,"$8,399 ",8.97, Large ,56102,56.10%,"$113,727 ","$2,295,006 ",62.70%,10.80%,11.30%,4.60%,26.20%,4,4,4,4
208_38410750,208,VA,38410750,Faust Cabernet Napa,750ml,$55.99 ,"$1,765 ",52,"$1,765 ",24.04, Small ,46605,42.50%,"$84,509 ","$1,061,296 ",38.40%,14.00%,3.40%,19.80%,22.40%,2,0,0,0
1801_38410750,1801,MO,38410750,Faust Cabernet Napa,750ml,$47.99 ,"$3,056 ",43,"$3,696 ",9.16, Medium ,65540,52.20%,"$103,817 ","$2,376,480 ",64.20%,3.10%,8.20%,3.80%,28.20%,3,3,2,3
1119_38410750,1119,CA,38410750,Faust Cabernet Napa,750ml,$54.99 ,"$3,180 ",52,"$3,180 ",7.59, Medium ,95422,32.40%,"$67,022 ","$920,392 ",36.40%,36.70%,11.00%,6.20%,21.70%,0,3,3,3
904_38410750,904,FL,38410750,Faust Cabernet Napa,750ml,$56.99 ,"$8,072 ",52,"$8,072 ",18.68, Small ,96695,29.10%,"$58,323 ","$750,999 ",36.50%,21.50%,2.00%,37.00%,28.20%,2,3,4,4
1409_38410750,1409,WA,38410750,Faust Cabernet Napa,750ml,$48.99 ,"$1,020 ",52,"$1,020 ",10.01, Large ,187904,51.20%,"$102,492 ","$1,429,877 ",67.50%,6.70%,16.70%,4.20%,23.20%,0,0,0,0
1131_38410750,1131,CA,38410750,Faust Cabernet Napa,750ml,$54.99 ,"$1,852 ",52,"$1,852 ",2.88, Small ,34185,40.80%,"$83,481 ","$1,050,191 ",43.50%,30.40%,9.20%,4.80%,22.50%,0,0,1,1
511_38410750,511,TX,38410750,Faust Cabernet Napa,750ml,$47.99 ,"$2,731 ",52,"$2,731 ",8.97, Medium ,61227,30.70%,"$64,838 ","$790,611 ",40.70%,23.50%,5.70%,12.80%,18.10%,2,2,0,2
2801_38410750,2801,KS,38410750,Faust Cabernet Napa,750ml,$54.99 ,"$3,558 ",42,"$4,405 ",0.96, Large ,41452,35.60%,"$71,941 ","$1,143,166 ",49.60%,7.80%,8.70%,14.40%,22.90%,3,3,2,2
1115_38410750,1115,CA,38410750,Faust Cabernet Napa,750ml,$54.99 ,$965 ,52,$965 ,8.72, Medium ,75469,66.40%,"$137,450 ","$1,906,279 ",54.50%,17.90%,54.00%,2.60%,24.20%,0,2,2,2
1109_38410750,1109,CA,38410750,Faust Cabernet Napa,750ml,$49.99 ,"$2,256 ",52,"$2,256 ",12.54, Medium ,174778,43.60%,"$85,443 ","$1,258,042 ",34.20%,28.10%,33.40%,1.10%,24.80%,0,3,3,3
1010_38410750,1010,AZ,38410750,Faust Cabernet Napa,750ml,$48.99 ,"$2,407 ",52,"$2,407 ",10.07, Medium ,150250,21.70%,"$52,906 ","$326,496 ",36.70%,32.70%,4.30%,7.00%,17.40%,0,0,1,0
530_38410750,530,TX,38410750,Faust Cabernet Napa,750ml,$47.99 ,"$16,063 ",51,"$16,378 ",4.97, Medium ,200017,40.20%,"$76,170 ","$891,370 ",54.60%,40.40%,5.50%,18.40%,22.10%,2,3,3,3
518_38410750,518,TX,38410750,Faust Cabernet Napa,750ml,$47.99 ,"$8,676 ",51,"$8,846 ",7.65, Medium ,221166,37.90%,"$71,798 ","$963,270 ",60.40%,28.10%,11.10%,22.30%,20.70%,0,1,2,1
529_38410750,529,TX,38410750,Faust Cabernet Napa,750ml,$47.99 ,"$1,449 ",52,"$1,449 ",5.96, Large ,52803,48.70%,"$97,144 ","$1,101,290 ",46.50%,28.20%,14.40%,30.20%,18.60%,0,0,0,0
534_38410750,534,TX,38410750,Faust Cabernet Napa,750ml,$47.99 ,$418 ,29,$750 ,4.95, Medium ,46289,32.70%,"$73,361 ","$789,313 ",30.00%,23.10%,2.20%,52.20%,24.60%,0,0,0,0
1134_38410750,1134,CA,38410750,Faust Cabernet Napa,750ml,$54.99 ,"$1,303 ",49,"$1,383 ",1.04, Medium ,71588,34.60%,"$76,455 ","$829,497 ",31.40%,34.70%,5.60%,2.80%,23.10%,2,2,4,4
925_38410750,925,FL,38410750,Faust Cabernet Napa,750ml,$54.99 ,"$8,964 ",52,"$8,964 ",9.34, Medium ,100968,27.50%,"$62,603 ","$830,749 ",38.90%,24.20%,3.90%,15.30%,25.90%,1,1,2,2
537_38410750,537,TX,38410750,Faust Cabernet Napa,750ml,$47.99 ,"$1,260 ",52,"$1,260 ",2.21, Medium ,68183,19.10%,"$47,208 ","$436,197 ",47.30%,25.20%,7.60%,9.70%,12.90%,1,1,1,1
610_38410750,610,NC,38410750,Faust Cabernet Napa,750ml,$57.99 ,"$1,630 ",52,"$1,630 ",20.27, Medium ,61525,36.60%,"$69,655 ","$1,049,743 ",68.30%,10.20%,11.70%,20.30%,18.90%,1,0,0,0
1136_38410750,1136,CA,38410750,Faust Cabernet Napa,750ml,$49.99 ,"$2,804 ",52,"$2,804 ",1.65, Small ,219257,37.30%,"$73,194 ","$763,091 ",44.50%,35.80%,17.40%,2.10%,24.60%,0,2,4,2
217_38410750,217,VA,38410750,Faust Cabernet Napa,750ml,$55.99 ,"$1,553 ",52,"$1,553 ",8.3, Medium ,58061,27.30%,"$63,063 ","$732,110 ",35.20%,11.20%,5.00%,29.70%,22.20%,2,0,0,0
1603_38410750,1603,MN,38410750,Faust Cabernet Napa,750ml,$45.99 ,"$1,997 ",52,"$1,997 ",10.14, Large ,68674,46.00%,"$91,151 ","$1,352,855 ",45.90%,7.20%,6.30%,12.00%,25.30%,4,2,2,2
1605_38410750,1605,MN,38410750,Faust Cabernet Napa,750ml,$45.99 ,"$2,193 ",52,"$2,193 ",8.99, Large ,70183,46.90%,"$93,071 ","$1,444,413 ",48.10%,5.10%,10.50%,14.90%,23.80%,4,3,1,3
1001_38410750,1001,AZ,38410750,Faust Cabernet Napa,750ml,$48.99 ,"$5,482 ",52,"$5,482 ",16.13, Medium ,104841,19.50%,"$43,730 ","$519,532 ",37.90%,36.10%,4.90%,4.10%,22.40%,3,3,2,3
2504_38410750,2504,LA,38410750,Faust Cabernet Napa,750ml,$53.99 ,"$4,135 ",52,"$4,135 ",3.1, Large ,69180,36.10%,"$74,187 ","$1,121,516 ",48.10%,6.40%,5.00%,28.90%,23.00%,4,3,3,3
1707_38410750,1707,MA,38410750,Faust Cabernet Napa,750ml,$67.99 ,"$3,103 ",52,"$3,103 ",1.67, Medium ,353454,44.00%,"$83,926 ","$634,488 ",57.50%,19.80%,13.80%,19.30%,18.50%,4,4,3,3
1141_38410750,1141,CA,38410750,Faust Cabernet Napa,750ml,$49.99 ,"$1,054 ",8,"$6,850 ",0.25, Medium ,394314,32.90%,"$64,024 ","$550,253 ",46.20%,40.10%,16.90%,8.00%,22.00%,1,3,4,3
615_38410750,615,NC,38410750,Faust Cabernet Napa,750ml,$53.99 ,"$2,834 ",52,"$2,834 ",2.36, Large ,46760,29.50%,"$57,047 ","$975,895 ",44.50%,6.80%,1.80%,10.20%,21.60%,4,3,2,2
1128_38410750,1128,CA,38410750,Faust Cabernet Napa,750ml,$54.99 ,"$4,102 ",52,"$4,102 ",6.61, Large ,91054,68.00%,"$155,687 ","$2,320,557 ",64.70%,16.30%,30.20%,1.50%,26.10%,0,2,3,3
2302_38410750,2302,CO,38410750,Faust Cabernet Napa,750ml,$52.99 ,"$9,890 ",52,"$9,890 ",5.03, Large ,89577,57.00%,"$111,081 ","$1,897,933 ",66.00%,8.70%,8.50%,2.60%,25.10%,4,4,4,4
522_38410750,522,TX,38410750,Faust Cabernet Napa,750ml,$47.99 ,"$6,419 ",52,"$6,419 ",7.3, Medium ,133257,38.20%,"$75,120 ","$843,409 ",54.40%,31.50%,10.90%,7.10%,20.20%,0,1,2,1
2705_38410750,2705,IN,38410750,Faust Cabernet Napa,750ml,$40.99 ,"$1,548 ",52,"$1,548 ",1.15, Large ,58751,27.60%,"$62,925 ","$608,708 ",31.30%,11.10%,4.50%,18.60%,22.20%,4,3,3,3
1108_38410750,1108,CA,38410750,Faust Cabernet Napa,750ml,$54.99 ,"$1,803 ",52,"$1,803 ",13.04, Large ,151263,28.50%,"$60,692 ","$701,980 ",36.00%,27.60%,10.40%,10.60%,22.90%,2,2,3,3
1706_38410750,1706,MA,38410750,Faust Cabernet Napa,750ml,$67.99 ,"$5,036 ",52,"$5,036 ",5.44, Large ,95581,43.00%,"$85,117 ","$1,006,511 ",43.00%,5.70%,17.20%,12.00%,26.30%,4,4,4,4
939_38410750,939,FL,38410750,Faust Cabernet Napa,750ml,$56.99 ,"$2,262 ",42,"$2,801 ",0.91, Medium ,49433,26.30%,"$62,986 ","$748,645 ",25.80%,22.80%,2.50%,18.50%,25.90%,3,3,2,2
2504_38416750,2504,LA,38416750,Long Meadow Ranch Cabernet Napa,750ml,$57.99 ,$522 ,52,$522 ,3.1, Large ,69180,36.10%,"$74,187 ","$1,121,516 ",48.10%,6.40%,5.00%,28.90%,23.00%,4,3,3,3
2802_38416750,2802,KS,38416750,Long Meadow Ranch Cabernet Napa,750ml,$59.99 ,"$1,559 ",48,"$1,689 ",1.27, Large ,100194,47.40%,"$94,490 ","$1,684,201 ",64.30%,6.00%,7.90%,5.40%,25.90%,3,3,4,4
1803_38416750,1803,MO,38416750,Long Meadow Ranch Cabernet Napa,750ml,$44.99 ,"$2,225 ",51,"$2,269 ",8.95, Large ,47303,56.70%,"$112,649 ","$2,597,742 ",65.60%,3.40%,9.60%,3.30%,29.90%,3,4,3,4
1806_38416750,1806,MO,38416750,Long Meadow Ranch Cabernet Napa,750ml,$44.99 ,$905 ,48,$980 ,1.07, Large ,60259,48.30%,"$96,145 ","$1,799,787 ",59.90%,6.50%,8.70%,12.00%,25.70%,2,2,2,2
1805_38416750,1805,MO,38416750,Long Meadow Ranch Cabernet Napa,750ml,$44.99 ,$90 ,52,$90 ,1.19, Medium ,33546,41.00%,"$82,892 ","$747,797 ",40.60%,6.60%,2.30%,6.40%,21.80%,2,2,3,2
2801_38416750,2801,KS,38416750,Long Meadow Ranch Cabernet Napa,750ml,$54.99 ,$214 ,44,$253 ,0.96, Large ,41452,35.60%,"$71,941 ","$1,143,166 ",49.60%,7.80%,8.70%,14.40%,22.90%,3,3,2,2
218_38422750,218,VA,38422750,Napa Cellars Cabernet Napa,750ml,$28.99 ,"$3,160 ",52,"$3,160 ",8.22, Medium ,32062,66.20%,"$148,736 ","$2,109,334 ",62.00%,16.20%,14.10%,9.40%,21.20%,3,3,2,3
301_38422750,301,NJ,38422750,Napa Cellars Cabernet Napa,750ml,$29.99 ,"$1,323 ",52,"$1,323 ",30.02, Large ,106097,40.80%,"$79,937 ","$1,357,225 ",39.80%,20.30%,6.10%,15.40%,25.90%,3,4,2,4
609_38422750,609,NC,38422750,Napa Cellars Cabernet Napa,750ml,$29.99 ,"$1,674 ",52,"$1,674 ",21.28, Large ,39025,49.70%,"$99,311 ","$1,506,221 ",57.20%,8.80%,4.00%,9.50%,23.60%,4,4,3,4
1113_38422750,1113,CA,38422750,Napa Cellars Cabernet Napa,750ml,$21.19 ,$229 ,11,"$1,082 ",9.41, Medium ,184931,44.70%,"$88,924 ","$1,290,551 ",38.80%,31.20%,24.80%,6.40%,25.10%,0,2,3,2
1502_38422750,1502,CT,38422750,Napa Cellars Cabernet Napa,750ml,$29.99 ,$60 ,10,$312 ,9.61, Medium ,52938,35.60%,"$76,008 ","$1,031,100 ",37.50%,18.40%,10.20%,16.50%,26.20%,1,1,0,1
902_38422750,902,FL,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$1,537 ",50,"$1,598 ",18.91, Medium ,63515,27.20%,"$60,995 ","$1,186,673 ",37.00%,17.60%,2.40%,8.20%,26.90%,3,3,3,3
1603_38422750,1603,MN,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$1,074 ",52,"$1,074 ",10.14, Large ,68674,46.00%,"$91,151 ","$1,352,855 ",45.90%,7.20%,6.30%,12.00%,25.30%,4,2,2,2
1133_38422750,1133,CA,38422750,Napa Cellars Cabernet Napa,750ml,$21.19 ,"$1,290 ",52,"$1,290 ",2.21, Large ,59305,63.60%,"$130,486 ","$2,322,883 ",65.40%,14.50%,7.50%,1.00%,27.50%,1,3,3,3
206_38422750,206,VA,38422750,Napa Cellars Cabernet Napa,750ml,$28.99 ,$892 ,52,$892 ,25.1, Medium ,61052,37.70%,"$74,897 ","$1,312,550 ",46.30%,9.80%,3.60%,25.10%,26.40%,2,1,0,1
1701_38422750,1701,MA,38422750,Napa Cellars Cabernet Napa,750ml,$21.97 ,"$3,190 ",52,"$3,190 ",8.97, Large ,56102,56.10%,"$113,727 ","$2,295,006 ",62.70%,10.80%,11.30%,4.60%,26.20%,4,4,4,4
1401_38422750,1401,WA,38422750,Napa Cellars Cabernet Napa,750ml,$29.99 ,$157 ,4,"$2,035 ",12.35, Large ,101821,65.40%,"$141,954 ","$2,180,090 ",72.30%,6.90%,31.90%,2.40%,24.70%,2,4,4,4
1007_38422750,1007,AZ,38422750,Napa Cellars Cabernet Napa,750ml,$26.99 ,"$3,420 ",52,"$3,420 ",13.12, Medium ,86579,47.70%,"$94,804 ","$1,970,370 ",57.20%,8.50%,5.00%,2.20%,30.40%,3,3,4,3
1501_38422750,1501,CT,38422750,Napa Cellars Cabernet Napa,750ml,$29.99 ,"$2,339 ",52,"$2,339 ",11.91, Large ,53733,55.50%,"$114,356 ","$2,416,222 ",57.20%,20.90%,5.70%,10.80%,26.80%,3,4,4,4
220_38422750,220,VA,38422750,Napa Cellars Cabernet Napa,750ml,$28.99 ,$741 ,52,$741 ,6.27, Large ,58624,46.10%,"$90,248 ","$1,543,827 ",60.70%,6.20%,16.50%,10.40%,24.10%,2,1,1,1
933_38422750,933,FL,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$1,213 ",52,"$1,213 ",4.2, Small ,39045,21.10%,"$55,438 ","$1,225,292 ",32.40%,4.50%,1.50%,3.30%,36.80%,4,0,0,0
524_38422750,524,TX,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,"$1,329 ",52,"$1,329 ",6.12, Large ,65602,53.50%,"$106,365 ","$1,703,161 ",53.30%,21.50%,5.80%,6.00%,25.40%,3,3,3,3
1411_38422750,1411,WA,38422750,Napa Cellars Cabernet Napa,750ml,$29.99 ,$198 ,10,"$1,029 ",8.05, Large ,240985,52.60%,"$105,629 ","$1,070,031 ",72.60%,6.90%,15.30%,6.50%,21.50%,0,1,1,1
1702_38422750,1702,MA,38422750,Napa Cellars Cabernet Napa,750ml,$21.97 ,"$1,714 ",52,"$1,714 ",8.47, Medium ,363647,46.10%,"$89,166 ","$704,587 ",57.80%,18.50%,13.80%,9.40%,19.20%,3,2,2,2
516_38422750,516,TX,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,$386 ,11,"$1,824 ",7.69, Large ,239770,40.40%,"$76,352 ","$1,163,541 ",61.00%,38.10%,10.00%,8.10%,21.20%,0,4,4,4
1703_38422750,1703,MA,38422750,Napa Cellars Cabernet Napa,750ml,$21.97 ,"$1,231 ",52,"$1,231 ",7.69, Medium ,86737,31.70%,"$61,435 ","$861,694 ",38.30%,21.70%,9.80%,12.00%,23.00%,4,4,2,4
512_38422750,512,TX,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,$0 ,11,$0 ,8.01, Medium ,106276,31.40%,"$68,377 ","$960,399 ",33.70%,34.70%,12.20%,17.60%,23.30%,2,1,1,1
208_38422750,208,VA,38422750,Napa Cellars Cabernet Napa,750ml,$28.99 ,"$1,750 ",52,"$1,750 ",24.04, Small ,46605,42.50%,"$84,509 ","$1,061,296 ",38.40%,14.00%,3.40%,19.80%,22.40%,2,0,0,0
1705_38422750,1705,MA,38422750,Napa Cellars Cabernet Napa,750ml,$21.97 ,"$2,964 ",52,"$2,964 ",6.13, Large ,78191,60.80%,"$124,634 ","$2,530,877 ",62.90%,4.10%,14.10%,2.90%,28.20%,3,4,3,4
916_38422750,916,FL,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$1,145 ",52,"$1,145 ",14, Medium ,49058,28.30%,"$62,481 ","$1,129,541 ",31.10%,13.60%,1.80%,8.80%,30.70%,3,3,2,3
1412_38422750,1412,WA,38422750,Napa Cellars Cabernet Napa,750ml,$29.99 ,"$1,614 ",52,"$1,614 ",8.65, Medium ,25582,37.50%,"$80,542 ","$933,080 ",32.60%,9.10%,9.30%,4.20%,24.70%,1,0,0,0
1123_38422750,1123,CA,38422750,Napa Cellars Cabernet Napa,750ml,$21.19 ,"$1,870 ",43,"$2,261 ",6.96, Medium ,59778,46.40%,"$93,124 ","$1,163,387 ",33.30%,32.20%,11.20%,5.60%,21.50%,1,2,1,2
803_38422750,803,GA,38422750,Napa Cellars Cabernet Napa,750ml,$29.97 ,"$1,724 ",52,"$1,724 ",15.99, Large ,104773,47.70%,"$93,894 ","$1,623,966 ",68.10%,14.30%,10.70%,15.50%,21.70%,1,1,2,1
608_38422750,608,NC,38422750,Napa Cellars Cabernet Napa,750ml,$28.99 ,$29 ,11,$137 ,21.21, Large ,79142,35.60%,"$74,259 ","$913,630 ",50.50%,14.50%,6.20%,25.50%,22.40%,2,2,2,2
2602_38422750,2602,MI,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$4,425 ",52,"$4,425 ",2.95, Large ,74390,48.10%,"$95,634 ","$1,714,835 ",57.10%,2.90%,15.00%,7.00%,29.20%,4,4,4,4
602_38422750,602,NC,38422750,Napa Cellars Cabernet Napa,750ml,$29.99 ,"$1,435 ",52,"$1,435 ",22.31, Medium ,79315,24.50%,"$52,259 ","$747,990 ",46.00%,8.00%,5.30%,34.60%,22.10%,3,1,1,1
505_38422750,505,TX,38422750,Napa Cellars Cabernet Napa,750ml,$24.99 ,$648 ,48,$702 ,10.99, Large ,123796,40.20%,"$80,999 ","$1,145,351 ",52.90%,19.30%,19.40%,10.80%,24.20%,3,3,2,3
1708_38422750,1708,MA,38422750,Napa Cellars Cabernet Napa,750ml,$21.97 ,$815 ,52,$815 ,1.29, Large ,105187,52.40%,"$104,487 ","$1,728,724 ",54.20%,14.60%,7.00%,23.60%,26.20%,4,4,4,4
908_38422750,908,FL,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$2,322 ",51,"$2,368 ",17.01, Large ,64972,40.40%,"$79,478 ","$2,029,369 ",43.00%,24.60%,1.80%,6.40%,27.30%,3,4,4,4
2301_38422750,2301,CO,38422750,Napa Cellars Cabernet Napa,750ml,$26.99 ,"$2,108 ",52,"$2,108 ",6.29, Medium ,229522,36.70%,"$71,604 ","$865,880 ",57.50%,21.70%,5.40%,8.10%,22.30%,4,4,3,4
214_38422750,214,VA,38422750,Napa Cellars Cabernet Napa,750ml,$28.99 ,"$1,304 ",52,"$1,304 ",19.67, Medium ,115833,62.40%,"$125,578 ","$2,322,931 ",63.60%,17.50%,23.30%,6.70%,25.30%,2,2,1,2
1605_38422750,1605,MN,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$1,269 ",52,"$1,269 ",8.99, Large ,70183,46.90%,"$93,071 ","$1,444,413 ",48.10%,5.10%,10.50%,14.90%,23.80%,4,3,1,3
1114_38422750,1114,CA,38422750,Napa Cellars Cabernet Napa,750ml,$23.99 ,$70 ,20,$183 ,9.07, Medium ,94195,38.10%,"$79,707 ","$916,092 ",29.60%,24.00%,29.70%,14.10%,21.30%,0,0,1,0
1607_38422750,1607,MN,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$1,945 ",52,"$1,945 ",7.99, Large ,52640,43.70%,"$86,430 ","$1,499,453 ",50.10%,8.80%,7.90%,11.90%,26.40%,4,2,0,2
2104_38422750,2104,KY,38422750,Napa Cellars Cabernet Napa,750ml,$27.97 ,"$1,889 ",52,"$1,889 ",5.56, Large ,62692,26.70%,"$56,429 ","$711,052 ",45.60%,6.10%,4.30%,17.60%,21.30%,1,1,0,1
522_38422750,522,TX,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,$490 ,52,$490 ,7.3, Medium ,133257,38.20%,"$75,120 ","$843,409 ",54.40%,31.50%,10.90%,7.10%,20.20%,0,1,2,1
1901_38422750,1901,WI,38422750,Napa Cellars Cabernet Napa,750ml,$26.99 ,"$1,487 ",52,"$1,487 ",7.98, Large ,52365,42.10%,"$84,283 ","$1,524,897 ",51.80%,5.50%,7.30%,2.30%,28.50%,3,3,2,3
1111_38422750,1111,CA,38422750,Napa Cellars Cabernet Napa,750ml,$23.99 ,"$2,032 ",52,"$2,032 ",11.93, Large ,44730,59.70%,"$116,883 ","$2,004,263 ",51.90%,12.20%,14.30%,4.00%,25.30%,0,1,2,1
1106_38422750,1106,CA,38422750,Napa Cellars Cabernet Napa,750ml,$21.19 ,"$2,503 ",45,"$2,892 ",13.56, Large ,207129,44.00%,"$86,671 ","$1,090,631 ",42.80%,35.60%,20.20%,10.60%,24.40%,2,4,4,4
1140_38422750,1140,CA,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,$481 ,35,$714 ,0.77, Medium ,56959,55.70%,"$115,247 ","$2,456,245 ",64.40%,16.80%,6.40%,3.20%,29.40%,1,2,3,2
506_38422750,506,TX,38422750,Napa Cellars Cabernet Napa,750ml,$24.99 ,$318 ,24,$689 ,10.97, Large ,120430,54.80%,"$108,099 ","$1,414,564 ",64.80%,11.30%,26.50%,8.70%,23.70%,3,4,4,4
930_38422750,930,FL,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$1,870 ",52,"$1,870 ",7.13, Medium ,37403,37.30%,"$78,320 ","$2,046,003 ",40.60%,19.60%,1.80%,1.60%,29.10%,3,3,3,3
513_38422750,513,TX,38422750,Napa Cellars Cabernet Napa,750ml,$24.99 ,$24 ,32,$39 ,7.34, Large ,155581,40.60%,"$81,206 ","$1,108,685 ",57.10%,16.40%,20.80%,13.00%,24.50%,2,4,3,4
2603_38422750,2603,MI,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$3,245 ",51,"$3,309 ",3.05, Large ,62830,39.40%,"$77,092 ","$1,234,965 ",73.50%,5.70%,15.10%,7.40%,19.70%,3,2,2,2
934_38422750,934,FL,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,$616 ,52,$616 ,3.36, Large ,41228,45.20%,"$90,746 ","$1,114,299 ",45.80%,23.40%,7.60%,10.50%,25.30%,2,1,2,1
1803_38422750,1803,MO,38422750,Napa Cellars Cabernet Napa,750ml,$22.49 ,"$1,239 ",52,"$1,239 ",8.95, Large ,47303,56.70%,"$112,649 ","$2,597,742 ",65.60%,3.40%,9.60%,3.30%,29.90%,3,4,3,4
1801_38422750,1801,MO,38422750,Napa Cellars Cabernet Napa,750ml,$22.49 ,"$3,381 ",52,"$3,381 ",9.16, Medium ,65540,52.20%,"$103,817 ","$2,376,480 ",64.20%,3.10%,8.20%,3.80%,28.20%,3,3,2,3
205_38422750,205,VA,38422750,Napa Cellars Cabernet Napa,750ml,$28.99 ,"$1,539 ",52,"$1,539 ",26.47, Large ,112024,69.10%,"$159,315 ","$2,995,145 ",76.90%,13.20%,16.90%,4.20%,26.00%,4,4,4,4
915_38422750,915,FL,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,"$1,709 ",52,"$1,709 ",16.32, Medium ,87528,42.60%,"$84,991 ","$1,231,215 ",40.00%,53.70%,5.80%,20.60%,25.00%,1,2,3,2
1009_38422750,1009,AZ,38422750,Napa Cellars Cabernet Napa,750ml,$26.99 ,$683 ,52,$683 ,12.19, Large ,115955,17.90%,"$48,071 ","$459,209 ",34.40%,31.40%,3.90%,6.00%,24.50%,2,1,1,1
520_38422750,520,TX,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,$21 ,11,$98 ,7.17, Large ,71205,30.70%,"$69,179 ","$636,013 ",30.50%,40.80%,3.70%,14.00%,23.20%,1,1,0,1
1002_38422750,1002,AZ,38422750,Napa Cellars Cabernet Napa,750ml,$26.99 ,"$2,427 ",52,"$2,427 ",16.8, Medium ,118274,31.50%,"$70,227 ","$945,516 ",30.40%,17.20%,4.50%,3.90%,25.80%,2,1,1,1
305_38422750,305,NJ,38422750,Napa Cellars Cabernet Napa,750ml,$26.99 ,"$2,828 ",52,"$2,828 ",2.96, Large ,60245,46.80%,"$91,707 ","$1,786,040 ",48.20%,15.60%,4.10%,8.10%,26.40%,4,4,4,4
1119_38422750,1119,CA,38422750,Napa Cellars Cabernet Napa,750ml,$23.99 ,$72 ,11,$340 ,7.59, Medium ,95422,32.40%,"$67,022 ","$920,392 ",36.40%,36.70%,11.00%,6.20%,21.70%,0,3,3,3
1115_38422750,1115,CA,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,$809 ,52,$809 ,8.72, Medium ,75469,66.40%,"$137,450 ","$1,906,279 ",54.50%,17.90%,54.00%,2.60%,24.20%,0,2,2,2
936_38422750,936,FL,38422750,Napa Cellars Cabernet Napa,750ml,$27.99 ,$662 ,46,$748 ,0.96, Medium ,191164,26.10%,"$51,604 ","$582,251 ",37.20%,79.50%,1.40%,7.80%,24.30%,1,2,4,2
804_38422750,804,GA,38422750,Napa Cellars Cabernet Napa,750ml,$29.97 ,$56 ,11,$264 ,9.01, Medium ,148069,46.80%,"$91,850 ","$1,278,623 ",70.70%,16.40%,10.20%,13.30%,20.10%,1,2,3,2
1121_38422750,1121,CA,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,$932 ,52,$932 ,7.02, Large ,65961,74.20%,"$165,740 ","$2,343,649 ",63.90%,12.60%,34.90%,3.40%,24.30%,0,3,3,3
702_38422750,702,SC,38422750,Napa Cellars Cabernet Napa,750ml,$26.99 ,"$1,109 ",52,"$1,109 ",20.15, Large ,65062,29.20%,"$60,808 ","$627,934 ",43.60%,3.80%,2.00%,33.30%,21.90%,3,1,2,1
1130_38422750,1130,CA,38422750,Napa Cellars Cabernet Napa,750ml,$21.19 ,"$4,401 ",44,"$5,201 ",2.48, Large ,81756,64.40%,"$125,031 ","$2,006,458 ",63.00%,12.10%,27.70%,2.40%,25.80%,0,4,3,4
531_38422750,531,TX,38422750,Napa Cellars Cabernet Napa,750ml,$24.99 ,"$2,037 ",47,"$2,254 ",4.59, Small ,181332,37.30%,"$74,464 ","$864,068 ",53.90%,38.40%,4.40%,16.40%,20.00%,2,2,3,2
504_38422750,504,TX,38422750,Napa Cellars Cabernet Napa,750ml,$22.99 ,"$2,129 ",52,"$2,129 ",10.08, Large ,62754,39.30%,"$78,101 ","$1,087,999 ",53.50%,43.00%,7.70%,4.90%,21.60%,1,2,3,2
