PK,Store_Number,Store_State,Item_Code,Item_Name,Package_Type,Retail,Actual_Sales_$_L52W,L52W_in_Stock,Normalized_Sales_$_L52W,Age_of_the_Store_(years),Store_Size,Households_(HH),%_HH_Income_>_$100K,Median_HH_Income,Average_Net_Worth,%_Population_w/_Bachelor's_Degree_+,%_Hispanic,%_Asian,%_African_American,%_Population_Age_50-70,Store_Tier,Price_to_Stock_Ratio,Stock_to_Sales_Ratio,Income_Age_Interaction,Nor_sales_per_store_size
508_256750,508,TX,256750.0,Heitz Cabernet Napa,750ml,80.99,958.0,52,958.0,10.12, Large ,119670,28.5,64221.0,695923.0,30.5,31.5,8.8,23.2,21.3,1,1.5281132075471697,0.054223149113660066,607.0500000000001,1786.26
1608_256750,1608,MN,256750.0,Heitz Cabernet Napa,750ml,64.97,2354.0,52,2354.0,6.96, Medium ,81913,45.1,89585.0,1633013.0,57.8,4.4,6.0,9.5,26.5,3,1.2258490566037736,0.02208067940552017,1195.15,2428.67
1139_256750,1139,CA,256750.0,Heitz Cabernet Napa,750ml,59.99,3581.0,52,3581.0,1.14, Large ,299012,41.5,80990.0,840862.0,49.1,33.5,9.9,21.8,23.4,3,1.1318867924528302,0.014517029592406477,971.0999999999999,3798.41
603_256750,603,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,480.0,24,1040.0,22.08, Medium ,72244,19.7,48698.0,518178.0,39.3,10.1,6.1,41.5,21.4,0,3.1995999999999998,0.023054755043227664,421.58,3212.93
606_256750,606,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,880.0,52,880.0,21.5, Small ,73310,37.3,74567.0,940096.0,61.3,10.3,10.7,13.6,20.1,1,1.5092452830188678,0.05902383654937571,749.73,869.0
1118_256750,1118,CA,256750.0,Heitz Cabernet Napa,750ml,65.99,4182.0,52,4182.0,8.01, Small ,109664,55.3,110951.0,2014020.0,54.5,21.2,15.5,2.7,26.7,3,1.2450943396226415,0.012431269423858474,1476.51,4093.17
2201_256750,2201,NY,256750.0,Heitz Cabernet Napa,750ml,79.99,8280.0,52,8280.0,6.99, Large ,145881,56.2,113250.0,2286117.0,43.9,22.4,14.3,17.0,25.8,4,1.5092452830188678,0.006279434850863423,1449.96,8280.0
803_256750,803,GA,256750.0,Heitz Cabernet Napa,750ml,65.99,2082.0,52,2082.0,15.99, Large ,104773,47.7,93894.0,1623966.0,68.1,14.3,10.7,15.5,21.7,2,1.2450943396226415,0.024963994239078253,1035.09,3089.33
502_256750,502,TX,256750.0,Heitz Cabernet Napa,750ml,80.99,637.0,52,637.0,12.02, Large ,106636,29.3,62719.0,853693.0,36.7,33.9,4.1,19.8,21.3,2,1.5281132075471697,0.08150470219435736,624.09,1786.26
1137_256750,1137,CA,256750.0,Heitz Cabernet Napa,750ml,57.97,1152.0,52,1152.0,1.96, Medium ,69461,45.5,89025.0,1157668.0,40.5,34.1,9.1,2.5,22.0,3,1.0937735849056605,0.045099739809193407,1001.0,3050.8
934_256750,934,FL,256750.0,Heitz Cabernet Napa,750ml,68.97,2138.0,52,2138.0,3.36, Large ,41228,45.2,90746.0,1114299.0,45.8,23.4,7.6,10.5,25.3,2,1.3013207547169812,0.02431042543244507,1143.5600000000002,2992.0
1120_256750,1120,CA,256750.0,Heitz Cabernet Napa,750ml,65.99,5126.0,52,5126.0,7.05, Large ,168631,56.5,116849.0,1755512.0,47.6,28.6,29.0,3.2,23.8,3,1.2450943396226415,0.010142383460113126,1344.7,3798.41
615_256750,615,NC,256750.0,Heitz Cabernet Napa,750ml,79.99,1988.0,51,2027.0,2.36, Large ,46760,29.5,57047.0,975895.0,44.5,6.8,1.8,10.2,21.6,2,1.5382692307692307,0.02514792899408284,637.2,2115.35
701_256750,701,SC,256750.0,Heitz Cabernet Napa,750ml,67.99,1063.0,52,1063.0,20.99, Small ,40497,27.7,60321.0,872417.0,41.0,4.1,3.6,36.4,23.8,1,1.2828301886792453,0.04887218045112782,659.26,1063.0
